# ra(J2000),dec(J2000),amp(Jy/beam),rms(Jy/beam),FWHMy(arcsec),FWHMx(arcsec),Bpa(degrees),FieldName,"png image link (Notes: If a link fails, it's because the ROUND feature dropped trailing zeros in the coordinates, so try putting them in by hand. Some artifacts have been kept in, and are distiguished by very large FWHM in one axis and very narrow in another.)  ",NED Lookup,"[[prob Compact, prob Complex]] (output of binary CNN used to identify interesting and complex sources) ",,Artifact Flag
299.96094,50.57098,0.001082,0.000148,3.788096,2.92762,12.1892,FITST23/VLASS1.1.ql.T23t20.J195800+503000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST23/RA299.961DEC50.571.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=256.9991&DEC=51.3946&SR=0.01,[[ 0.79954565  0.20045435]],,0
299.93795,48.82597,0.003364,0.000182,2.503588,2.11324,-9.4233,FITST23/VLASS1.1.ql.T23t20.J195953+483000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST23/RA299.938DEC48.826.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=291.2564&DEC=49.6269&SR=0.01,[[ 0.76054603  0.23945397]],,0
299.93759,48.82572,0.003349,0.000149,2.504674,2.14477,-9.4048,FITST23/VLASS1.1.ql.T23t20.J195647+483000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST23/RA299.938DEC48.826.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=285.0041&DEC=50.9081&SR=0.01,[[ 0.85669035  0.14330967]],,0
299.93499,49.6569,0.006213,0.000165,2.508653,2.27139,10.2136,FITST23/VLASS1.1.ql.T23t20.J195726+493000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST23/RA299.935DEC49.657.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=275.2852&DEC=51.2094&SR=0.01,[[ 0.73549461  0.26450542]],,0
299.93207,49.37987,0.008388,0.000191,2.944387,2.50808,-9.5816,FITST23/VLASS1.1.ql.T23t20.J195726+493000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST23/RA299.932DEC49.38.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=290.1572&DEC=50.8196&SR=0.01,[[ 0.6816504  0.3183496]],,0
299.93036,50.91481,0.005851,0.000157,2.286372,2.51743,-20.0939,FITST23/VLASS1.1.ql.T23t20.J195800+503000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST23/RA299.93DEC50.915.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=256.5589&DEC=51.01&SR=0.01,[[ 0.58119458  0.41880542]],,0
299.92567,50.10724,0.00499,0.000154,2.410188,2.18426,-5.9801,FITST23/VLASS1.1.ql.T23t20.J195800+503000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST23/RA299.926DEC50.107.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=283.1487&DEC=48.9565&SR=0.01,[[ 0.56534576  0.43465421]],,0
299.91861,51.98131,0.008896,0.000524,7.138058,2.66682,9.7487,FITST23/VLASS1.1.ql.T23t20.J195836+513000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST23/RA299.919DEC51.981.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=292.9527&DEC=48.41&SR=0.01,[[ 0.64121115  0.35878888]],,0
299.91592,50.61352,0.001565,0.000146,2.369982,2.88051,9.2144,FITST23/VLASS1.1.ql.T23t20.J195800+503000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST23/RA299.916DEC50.614.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=292.4354&DEC=50.0663&SR=0.01,[[ 0.86821669  0.13178329]],,0
299.91575,51.97916,0.010365,0.000524,6.78335,2.02747,0.5169,FITST23/VLASS1.1.ql.T23t20.J195836+513000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST23/RA299.916DEC51.979.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=292.88&DEC=48.5877&SR=0.01,[[ 0.61938137  0.38061854]],,0
299.91459,49.17295,0.001255,0.000141,2.325448,2.66787,-10.2444,FITST23/VLASS1.1.ql.T23t20.J195726+493000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST23/RA299.915DEC49.173.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=286.0678&DEC=51.6194&SR=0.01,[[ 0.82656819  0.17343184]],,0
299.90348,49.28698,0.001693,0.000141,4.523107,2.75441,9.7471,FITST23/VLASS1.1.ql.T23t20.J195726+493000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST23/RA299.903DEC49.287.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=293.3154&DEC=48.6346&SR=0.01,[[ 0.7505523   0.24944763]],,0
299.90108,50.91155,0.001652,0.000148,2.063277,2.29945,-9.9982,FITST23/VLASS1.1.ql.T23t20.J195800+503000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST23/RA299.901DEC50.912.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=297.2462&DEC=50.0536&SR=0.01,[[ 0.74698961  0.25301045]],,0
299.88701,49.01214,0.00989453,0.000234,0,0,0,FITST23/VLASS1.1.ql.T23t20.J195647+483000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST23/RA299.887DEC49.012.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=296.7581&DEC=48.494&SR=0.01,[[ 0.80163455  0.19836545]],,0
299.88696,49.01211,0.010323,0.000228,3.465054,2.33224,9.5486,FITST23/VLASS1.1.ql.T23t20.J195953+483000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST23/RA299.887DEC49.012.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=293.973&DEC=50.7684&SR=0.01,[[ 0.80856872  0.19143124]],,0
299.88683,49.01203,0.010365,0.000199,3.471192,2.33742,9.6025,FITST23/VLASS1.1.ql.T23t20.J195726+493000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST23/RA299.887DEC49.012.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=266.8326&DEC=49.5645&SR=0.01,[[ 0.76270568  0.23729424]],,0
299.86961,48.20373,0.003501,0.000182,2.653451,4.7515,9.5869,FITST23/VLASS1.1.ql.T23t20.J195953+483000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST23/RA299.87DEC48.204.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=258.9776&DEC=48.908&SR=0.01,[[ 0.69467676  0.30532327]],,0
299.8696,48.20372,0.003504,0.000141,2.622577,4.68551,9.5692,FITST23/VLASS1.1.ql.T23t20.J195647+483000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST23/RA299.87DEC48.204.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=259.2213&DEC=48.6703&SR=0.01,[[ 0.55510747  0.44489253]],,0
299.86848,48.31238,0.002079,0.000182,3.035325,2.47486,9.6067,FITST23/VLASS1.1.ql.T23t20.J195953+483000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST23/RA299.868DEC48.312.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=297.6908&DEC=50.5645&SR=0.01,[[ 0.91331446  0.08668555]],,0
299.86846,48.31237,0.002086,0.000137,2.970152,2.47657,9.5959,FITST23/VLASS1.1.ql.T23t20.J195647+483000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST23/RA299.868DEC48.312.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=258.6958&DEC=50.9375&SR=0.01,[[ 0.88881648  0.11118354]],,0
299.85304,50.0706,0.002785,0.000146,3.111869,2.29452,9.6894,FITST23/VLASS1.1.ql.T23t20.J195800+503000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST23/RA299.853DEC50.071.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=263.3674&DEC=48.9063&SR=0.01,[[ 0.72815639  0.27184361]],,0
299.83203,48.85939,0.00371,0.000182,2.749227,2.19672,9.4535,FITST23/VLASS1.1.ql.T23t20.J195953+483000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST23/RA299.832DEC48.859.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=285.7533&DEC=49.5416&SR=0.01,[[ 0.87431043  0.12568958]],,0
299.83198,48.85936,0.003713,0.000137,2.72426,2.18634,9.4522,FITST23/VLASS1.1.ql.T23t20.J195647+483000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST23/RA299.832DEC48.859.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=292.567&DEC=48.1107&SR=0.01,[[ 0.85032254  0.14967743]],,0
299.81067,50.41608,0.001038,0.000146,3.072915,4.61933,10.3201,FITST23/VLASS1.1.ql.T23t20.J195800+503000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST23/RA299.811DEC50.416.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=262.1854&DEC=48.7848&SR=0.01,[[ 0.64685917  0.35314089]],,0
299.80129,48.52866,0.003074,0.000137,2.154609,2.36329,-10.5109,FITST23/VLASS1.1.ql.T23t20.J195647+483000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST23/RA299.801DEC48.529.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=255.194&DEC=49.0324&SR=0.01,[[ 0.7888636   0.21113639]],,0
299.80109,48.52852,0.003053,0.000182,2.171416,2.38969,-10.554,FITST23/VLASS1.1.ql.T23t20.J195953+483000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST23/RA299.801DEC48.529.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=278.4089&DEC=49.1521&SR=0.01,[[ 0.71958697  0.280413  ]],,0
299.79871,49.15483,0.002378,0.000138,2.390771,2.71186,10.2361,FITST23/VLASS1.1.ql.T23t20.J195726+493000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST23/RA299.799DEC49.155.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=265.9756&DEC=51.4652&SR=0.01,[[ 0.77501076  0.22498927]],,0
299.7941,50.74656,0.010831,0.000184,2.699589,2.48557,9.6188,FITST23/VLASS1.1.ql.T23t20.J195800+503000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST23/RA299.794DEC50.747.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=291.7462&DEC=48.4446&SR=0.01,[[ 0.74950296  0.25049707]],,0
299.77047,48.49168,0.003429,0.000182,4.210846,3.21931,-9.4856,FITST23/VLASS1.1.ql.T23t20.J195953+483000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST23/RA299.77DEC48.492.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=264.1624&DEC=50.2505&SR=0.01,[[ 0.68850255  0.31149742]],,0
299.77041,48.49164,0.003424,0.000142,4.137055,3.14051,-9.4779,FITST23/VLASS1.1.ql.T23t20.J195647+483000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST23/RA299.77DEC48.492.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=280.5113&DEC=49.0157&SR=0.01,[[ 0.66176778  0.33823228]],,0
299.76328,50.90403,0.004944,0.000146,2.456303,2.40485,-9.1097,FITST23/VLASS1.1.ql.T23t20.J195800+503000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST23/RA299.763DEC50.904.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=277.993&DEC=51.7181&SR=0.01,[[ 0.75343639  0.24656361]],,0
299.76302,48.49016,0.002526,0.000141,2.522759,2.33579,9.5675,FITST23/VLASS1.1.ql.T23t20.J195647+483000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST23/RA299.763DEC48.49.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=287.4439&DEC=48.5754&SR=0.01,[[ 0.51603758  0.48396245]],,0
299.76302,48.49015,0.002495,0.000182,2.574549,2.37049,9.5537,FITST23/VLASS1.1.ql.T23t20.J195953+483000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST23/RA299.763DEC48.49.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=289.7619&DEC=49.5656&SR=0.01,[[ 0.51826847  0.48173156]],,0
299.75767,49.49371,0.001361,0.000138,2.315653,4.38355,9.5202,FITST23/VLASS1.1.ql.T23t20.J195726+493000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST23/RA299.758DEC49.494.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=255.0908&DEC=47.9861&SR=0.01,[[ 0.75937104  0.24062897]],,0
299.75429,48.48898,0.001191,0.000141,3.688368,5.36733,9.883,FITST23/VLASS1.1.ql.T23t20.J195647+483000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST23/RA299.754DEC48.489.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=270.4886&DEC=51.3978&SR=0.01,[[ 0.52588803  0.47411203]],,0
299.75391,48.48924,0.000752,0.000182,5.447592,9.92933,9.6812,FITST23/VLASS1.1.ql.T23t20.J195953+483000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST23/RA299.754DEC48.489.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=264.5864&DEC=48.5965&SR=0.01,[[ 0.56810641  0.43189362]],,0
299.72625,49.80375,0.002059,0.000138,2.613663,2.43934,10.467,FITST23/VLASS1.1.ql.T23t20.J195726+493000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST23/RA299.726DEC49.804.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=273.2921&DEC=50.4664&SR=0.01,[[ 0.80677843  0.19322155]],,0
299.707,51.10131,0.020531,0.000524,2.270448,2.5873,-10.2147,FITST23/VLASS1.1.ql.T23t20.J195836+513000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST23/RA299.707DEC51.101.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=290.6368&DEC=50.948&SR=0.01,[[ 0.57508653  0.42491353]],,0
299.70683,50.82947,0.003523,0.000146,2.435962,2.90215,-10.2505,FITST23/VLASS1.1.ql.T23t20.J195800+503000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST23/RA299.707DEC50.829.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=284.7985&DEC=48.4709&SR=0.01,[[ 0.77246082  0.22753914]],,0
299.70095,49.21375,0.003068,0.000138,2.400167,2.25633,-9.7752,FITST23/VLASS1.1.ql.T23t20.J195726+493000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST23/RA299.701DEC49.214.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=293.0354&DEC=48.1667&SR=0.01,[[ 0.67581749  0.32418251]],,0
299.63596,49.0018,0.002127,0.000137,2.899883,2.3007,-9.3303,FITST23/VLASS1.1.ql.T23t20.J195647+483000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST23/RA299.636DEC49.002.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=290.5993&DEC=48.0327&SR=0.01,[[ 0.70932251  0.29067752]],,0
299.63569,49.00163,0.002128,0.000138,2.926385,2.31852,-9.2077,FITST23/VLASS1.1.ql.T23t20.J195726+493000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST23/RA299.636DEC49.002.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=283.8405&DEC=49.0639&SR=0.01,[[ 0.88043612  0.11956383]],,0
299.63561,49.00158,0.002125,0.000182,2.91144,2.31742,-9.3082,FITST23/VLASS1.1.ql.T23t20.J195953+483000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST23/RA299.636DEC49.002.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=279.1588&DEC=48.1139&SR=0.01,[[ 0.71907693  0.28092298]],,0
299.62497,49.35503,0.003074,0.000138,2.357842,2.22409,-9.241,FITST23/VLASS1.1.ql.T23t20.J195726+493000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST23/RA299.625DEC49.355.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=275.7502&DEC=49.5496&SR=0.01,[[ 0.63151073  0.36848924]],,0
