# ra(J2000),dec(J2000),amp(Jy/beam),rms(Jy/beam),FWHMy(arcsec),FWHMx(arcsec),Bpa(degrees),FieldName,"png image link (Notes: If a link fails, it's because the ROUND feature dropped trailing zeros in the coordinates, so try putting them in by hand. Some artifacts have been kept in, and are distiguished by very large FWHM in one axis and very narrow in another.)  ",NED Lookup,"[[prob Compact, prob Complex]] (output of binary CNN used to identify interesting and complex sources) ",,Artifact Flag
300.11294,50.21249,0.003201,0.000265,2.485466,2.73807,11.2405,FITST23/VLASS1.1.ql.T23t20.J195800+503000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST23/RA300.113DEC50.212.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=264.3399&DEC=51.3081&SR=0.01,[[ 0.81241584  0.1875841 ]],,0
300.0958,48.62927,0.004117,0.000273,2.548586,2.82129,-9.7592,FITST23/VLASS1.1.ql.T23t20.J195953+483000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST23/RA300.096DEC48.629.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=266.8839&DEC=51.1651&SR=0.01,[[ 0.80296028  0.19703977]],,0
300.08797,48.65044,0.000878,0.00026,17.002798,2.20753,-2.7113,FITST23/VLASS1.1.ql.T23t20.J195953+483000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST23/RA300.088DEC48.65.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=294.1498&DEC=49.4603&SR=0.01,[[ 0.75850993  0.24149002]],,0
300.08373,49.60997,0.003207,0.000248,3.991988,2.84828,-10.1254,FITST23/VLASS1.1.ql.T23t20.J195726+493000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST23/RA300.084DEC49.61.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=268.4265&DEC=48.3928&SR=0.01,[[ 0.5865491  0.4134509]],,0
300.08096,49.61319,0.002314,0.000244,5.899128,3.13511,-9.807,FITST23/VLASS1.1.ql.T23t20.J195726+493000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST23/RA300.081DEC49.613.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=275.0518&DEC=48.0001&SR=0.01,[[ 0.67957908  0.32042089]],,0
300.05809,48.26495,0.007559,0.000232,2.198226,2.31965,-8.3779,FITST23/VLASS1.1.ql.T23t20.J195953+483000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST23/RA300.058DEC48.265.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=197.2218&DEC=48.0375&SR=0.01,[[ 0.78012896  0.21987103]],,0
300.04752,50.78827,0.00259,0.000198,2.784573,5.05017,-10.2939,FITST23/VLASS1.1.ql.T23t20.J195800+503000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST23/RA300.048DEC50.788.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=258.9529&DEC=50.4165&SR=0.01,[[ 0.78690481  0.21309523]],,0
300.0443,49.49136,0.002751,0.000203,2.331686,2.48586,-10.9247,FITST23/VLASS1.1.ql.T23t20.J195726+493000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST23/RA300.044DEC49.491.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=299.7941&DEC=50.7466&SR=0.01,[[ 0.88262939  0.11737059]],,0
300.00929,51.16687,0.005421,0.000524,2.610072,4.73345,-4.748,FITST23/VLASS1.1.ql.T23t20.J195836+513000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST23/RA300.009DEC51.167.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=267.7665&DEC=51.3964&SR=0.01,[[ 0.84939879  0.15060125]],,0
300.00839,50.92785,0.005903,0.00018,2.275178,2.5405,-10.3635,FITST23/VLASS1.1.ql.T23t20.J195800+503000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST23/RA300.008DEC50.928.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=286.969&DEC=49.6044&SR=0.01,[[ 0.65499461  0.34500542]],,0
299.99725,50.412,0.005824,0.000348,9.149998,6.43043,9.97,FITST23/VLASS1.1.ql.T23t20.J195800+503000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST23/RA299.997DEC50.412.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=271.8798&DEC=51.6895&SR=0.01,[[ 0.43407792  0.56592214]],,0
299.98821,50.40007,0.008335,0.000347,3.41006,2.40041,9.9243,FITST23/VLASS1.1.ql.T23t20.J195800+503000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST23/RA299.988DEC50.4.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=289.9777&DEC=49.882&SR=0.01,[[ 0.23586956  0.76413047]],,0
299.96152,51.707,0.006609,0.000524,2.210712,2.49959,-7.4305,FITST23/VLASS1.1.ql.T23t20.J195836+513000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST23/RA299.962DEC51.707.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=262.8931&DEC=49.3475&SR=0.01,[[ 0.59288704  0.40711296]],,0
