# ra(J2000),dec(J2000),amp(Jy/beam),rms(Jy/beam),FWHMy(arcsec),FWHMx(arcsec),Bpa(degrees),FieldName,"png image link (Notes: If a link fails, it's because the ROUND feature dropped trailing zeros in the coordinates, so try putting them in by hand. Some artifacts have been kept in, and are distiguished by very large FWHM in one axis and very narrow in another.)  ",NED Lookup,"[[prob Compact, prob Complex]] (output of binary CNN used to identify interesting and complex sources) "
258.87279,20.71754,0.002468,0.000341,3.891937,10.25659,-9.8886,VLASS1.1.ql.T16t23.J171347+203000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA258.873DEC20.718.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=258.8728&DEC=20.7175&SR=0.01,[[ 0.00904205  0.99095798]]
258.87074,20.71575,0.002333,0.000347,3.948938,10.94567,-9.841,VLASS1.1.ql.T16t23.J171347+203000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA258.871DEC20.716.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=258.8707&DEC=20.7158&SR=0.01,[[ 0.01712434  0.9828757 ]]
258.83866,21.75883,0.291462,0.003662,2.208344,2.41149,-6.6704,VLASS1.1.ql.T16t23.J171355+213000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA258.839DEC21.759.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=258.8387&DEC=21.7588&SR=0.01,[[ 0.71245891  0.28754106]]
258.83609,21.05517,0.004259,0.00033,2.084432,2.61288,-9.6567,VLASS1.1.ql.T16t23.J171355+213000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA258.836DEC21.055.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=258.8361&DEC=21.0552&SR=0.01,[[ 0.79667419  0.20332585]]
258.82905,21.77283,0.094086,0.003655,2.321935,2.60008,-10.0722,VLASS1.1.ql.T16t23.J171355+213000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA258.829DEC21.773.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=258.8291&DEC=21.7728&SR=0.01,[[ 0.83979547  0.16020449]]
258.80329,20.57259,0.001515,0.000239,2.848636,2.95057,-10.2913,VLASS1.1.ql.T16t23.J171347+203000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA258.803DEC20.573.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=258.8033&DEC=20.5726&SR=0.01,[[ 0.53863162  0.46136844]]
258.7752,20.90914,0.004773,0.000374,6.028482,14.82031,-9.5537,VLASS1.1.ql.T16t23.J171347+203000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA258.775DEC20.909.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=258.7752&DEC=20.9091&SR=0.01,[[ 0.3952865   0.60471356]]
258.77287,20.90748,0.004528,0.000372,5.75972,26.2697,-12.7378,VLASS1.1.ql.T16t23.J171347+203000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA258.773DEC20.907.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=258.7729&DEC=20.9075&SR=0.01,[[ 0.12112328  0.87887675]]
258.77077,20.90692,0.003493,0.000371,6.11506,26.39463,-0.1214,VLASS1.1.ql.T16t23.J171347+203000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA258.771DEC20.907.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=258.7708&DEC=20.9069&SR=0.01,[[ 0.0487311   0.95126891]]
258.76174,23.49968,0.002757,0.000192,2.338335,3.19583,-9.8576,VLASS1.1.ql.T16t23.J171413+233000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA258.762DEC23.5.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=258.7617&DEC=23.4997&SR=0.01,[[ 0.62350875  0.37649128]]
258.75757,20.53619,0.01257,0.000243,2.13698,2.56797,-10.2783,VLASS1.1.ql.T16t23.J171347+203000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA258.758DEC20.536.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=258.7576&DEC=20.5362&SR=0.01,[[ 0.705046  0.294954]]
258.74938,22.55746,0.005246,0.000177,2.236596,2.57041,-10.3664,VLASS1.1.ql.T16t23.J171404+223000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA258.749DEC22.557.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=258.7494&DEC=22.5575&SR=0.01,[[ 0.8192572   0.18074283]]
258.74052,22.11409,0.003134,0.000179,2.195759,2.54794,-9.8774,VLASS1.1.ql.T16t23.J171404+223000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA258.741DEC22.114.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=258.7405&DEC=22.1141&SR=0.01,[[ 0.8495903   0.15040976]]
258.7225,22.43839,0.01203,0.000221,2.299443,2.92419,-10.1299,VLASS1.1.ql.T16t23.J171404+223000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA258.723DEC22.438.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=258.7225&DEC=22.4384&SR=0.01,[[ 0.70830995  0.29169011]]
258.71549,21.24866,0.010402,0.000231,2.436836,2.26151,10.2189,VLASS1.1.ql.T16t23.J171355+213000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA258.715DEC21.249.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=258.7155&DEC=21.2487&SR=0.01,[[ 0.78535277  0.21464723]]
258.70208,22.37149,0.002063,0.000159,2.477149,3.24975,-9.6078,VLASS1.1.ql.T16t23.J171404+223000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA258.702DEC22.371.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=258.7021&DEC=22.3715&SR=0.01,[[ 0.72695565  0.27304438]]
258.69949,20.78465,0.002756,0.000168,3.155531,2.29738,9.8607,VLASS1.1.ql.T16t23.J171347+203000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA258.699DEC20.785.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=258.6995&DEC=20.7847&SR=0.01,[[ 0.78734773  0.2126523 ]]
258.67553,21.32015,0.002542,0.000231,2.422874,3.38376,-6.5456,VLASS1.1.ql.T16t23.J171355+213000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA258.676DEC21.32.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=258.6755&DEC=21.3202&SR=0.01,[[ 0.77836603  0.22163399]]
258.66786,21.50732,0.001492,0.000231,3.403979,17.73742,-9.6081,VLASS1.1.ql.T16t23.J171355+213000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA258.668DEC21.507.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=258.6679&DEC=21.5073&SR=0.01,[[ 0.65329784  0.34670216]]
258.66554,23.40859,0.001915,0.000169,3.308387,5.32415,9.9857,VLASS1.1.ql.T16t23.J171413+233000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA258.666DEC23.409.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=258.6655&DEC=23.4086&SR=0.01,[[ 0.70471382  0.29528621]]
258.65545,21.81029,0.00208,0.000231,2.327242,2.71719,-9.6546,VLASS1.1.ql.T16t23.J171355+213000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA258.655DEC21.81.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=258.6555&DEC=21.8103&SR=0.01,[[ 0.79541314  0.20458688]]
258.64666,23.40783,0.00277,0.000169,2.977224,3.97562,11.8632,VLASS1.1.ql.T16t23.J171413+233000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA258.647DEC23.408.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=258.6467&DEC=23.4078&SR=0.01,[[ 0.80276299  0.19723709]]
258.64304,20.07511,0.011472,0.000212,2.51122,2.51731,5.4446,VLASS1.1.ql.T16t23.J171347+203000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA258.643DEC20.075.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=258.643&DEC=20.0751&SR=0.01,[[ 0.76895988  0.23104006]]
258.63376,21.40189,0.001803,0.000231,10.270336,3.90956,9.8996,VLASS1.1.ql.T16t23.J171355+213000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA258.634DEC21.402.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=258.6338&DEC=21.4019&SR=0.01,[[ 0.64687115  0.35312888]]
258.63057,20.96199,0.006553,0.000168,2.067327,2.56448,-10.2985,VLASS1.1.ql.T16t23.J171347+203000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA258.631DEC20.962.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=258.6306&DEC=20.962&SR=0.01,[[ 0.6728242   0.32717577]]
258.6251,20.41051,0.00141,0.000168,2.436469,3.08189,10.0341,VLASS1.1.ql.T16t23.J171347+203000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA258.625DEC20.411.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=258.6251&DEC=20.4105&SR=0.01,[[ 0.69512022  0.30487975]]
258.62054,23.00006,0.002507,0.000159,2.240559,2.56279,-10.1001,VLASS1.1.ql.T16t23.J171404+223000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA258.621DEC23.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=258.6205&DEC=23.0001&SR=0.01,[[ 0.68570918  0.31429085]]
258.62043,22.99997,0.002542,0.000169,2.243043,2.64058,-10.0006,VLASS1.1.ql.T16t23.J171413+233000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA258.62DEC23.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=258.6204&DEC=23&SR=0.01,[[ 0.64990586  0.35009417]]
258.61642,20.80573,0.001969,0.000168,3.162809,3.81696,-4.4367,VLASS1.1.ql.T16t23.J171347+203000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA258.616DEC20.806.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=258.6164&DEC=20.8057&SR=0.01,[[ 0.7910673   0.20893273]]
258.61371,22.83101,0.014144,0.000219,2.574108,2.27007,-11.4204,VLASS1.1.ql.T16t23.J171404+223000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA258.614DEC22.831.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=258.6137&DEC=22.831&SR=0.01,[[ 0.80882674  0.19117327]]
258.61154,21.57984,0.003488,0.000231,5.59063,3.0724,10.328,VLASS1.1.ql.T16t23.J171355+213000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA258.612DEC21.58.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=258.6115&DEC=21.5798&SR=0.01,[[ 0.44777468  0.55222535]]
258.6019,20.65352,0.001883,0.000168,2.188822,2.42985,8.7319,VLASS1.1.ql.T16t23.J171347+203000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA258.602DEC20.654.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=258.6019&DEC=20.6535&SR=0.01,[[ 0.8553589   0.14464112]]
258.60143,21.38777,0.002385,0.000231,2.092194,2.80316,-10.1083,VLASS1.1.ql.T16t23.J171355+213000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA258.601DEC21.388.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=258.6014&DEC=21.3878&SR=0.01,[[ 0.78213882  0.21786118]]
258.5914,20.92023,0.004495,0.000168,2.855598,2.13017,10.1392,VLASS1.1.ql.T16t23.J171347+203000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA258.591DEC20.92.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=258.5914&DEC=20.9202&SR=0.01,[[ 0.63905269  0.36094734]]
258.58878,20.91637,0.002927,0.000168,2.821539,2.21018,9.8787,VLASS1.1.ql.T16t23.J171347+203000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA258.589DEC20.916.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=258.5888&DEC=20.9164&SR=0.01,[[ 0.66582561  0.33417436]]
258.58728,23.07154,0.003042,0.000169,3.961039,3.44953,-10.1351,VLASS1.1.ql.T16t23.J171413+233000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA258.587DEC23.072.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=258.5873&DEC=23.0715&SR=0.01,[[ 0.37714693  0.62285298]]
258.58526,22.06794,0.001339,0.000159,3.741956,8.17022,10.1151,VLASS1.1.ql.T16t23.J171404+223000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA258.585DEC22.068.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=258.5853&DEC=22.0679&SR=0.01,[[ 0.54742479  0.45257518]]
258.5724,20.48522,0.002095,0.000168,2.635374,3.43308,-13.6656,VLASS1.1.ql.T16t23.J171347+203000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA258.572DEC20.485.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=258.5724&DEC=20.4852&SR=0.01,[[ 0.59620392  0.40379614]]
258.57194,22.89299,0.001873,0.000159,2.750796,2.43683,10.9335,VLASS1.1.ql.T16t23.J171404+223000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA258.572DEC22.893.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=258.5719&DEC=22.893&SR=0.01,[[ 0.72423404  0.27576599]]
258.56955,23.57,0.001615,0.0002,4.063878,11.3022,-9.7732,VLASS1.1.ql.T16t23.J171413+233000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA258.57DEC23.57.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=258.5696&DEC=23.57&SR=0.01,[[ 0.45320404  0.54679596]]
258.56176,22.19865,0.00098,0.000159,3.612144,9.1803,9.9715,VLASS1.1.ql.T16t23.J171404+223000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA258.562DEC22.199.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=258.5618&DEC=22.1987&SR=0.01,[[ 0.74581212  0.25418788]]
258.55989,23.57153,0.005934,0.0002,3.811089,4.49351,9.823,VLASS1.1.ql.T16t23.J171413+233000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA258.56DEC23.572.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=258.5599&DEC=23.5715&SR=0.01,[[ 0.28386003  0.71613997]]
258.55116,21.35085,0.006742,0.000231,2.430529,2.26155,7.3936,VLASS1.1.ql.T16t23.J171355+213000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA258.551DEC21.351.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=258.5512&DEC=21.3509&SR=0.01,[[ 0.81391668  0.18608329]]
258.55098,22.42163,0.000933,0.000159,6.071626,18.40018,9.9072,VLASS1.1.ql.T16t23.J171404+223000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA258.551DEC22.422.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=258.551&DEC=22.4216&SR=0.01,[[ 0.15655723  0.84344274]]
258.54883,23.60222,0.004197,0.000351,6.386472,14.78641,9.8262,VLASS1.1.ql.T16t23.J171413+233000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA258.549DEC23.602.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=258.5488&DEC=23.6022&SR=0.01,[[ 0.03163458  0.96836543]]
258.54623,23.60207,0.005188,0.000351,5.605612,22.48752,0.3436,VLASS1.1.ql.T16t23.J171413+233000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA258.546DEC23.602.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=258.5462&DEC=23.6021&SR=0.01,[[ 0.08143126  0.91856879]]
258.52774,22.58972,0.003258,0.000159,2.343136,2.85269,-9.7773,VLASS1.1.ql.T16t23.J171404+223000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA258.528DEC22.59.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=258.5277&DEC=22.5897&SR=0.01,[[ 0.54511631  0.45488378]]
258.52565,20.82068,0.011078,0.000186,2.559597,2.14557,10.0331,VLASS1.1.ql.T16t23.J171347+203000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA258.526DEC20.821.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=258.5257&DEC=20.8207&SR=0.01,[[ 0.72960913  0.2703909 ]]
258.51342,23.61238,0.006674,0.00018,2.461308,3.20627,-10.0439,VLASS1.1.ql.T16t23.J171413+233000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA258.513DEC23.612.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=258.5134&DEC=23.6124&SR=0.01,[[ 0.82700908  0.17299087]]
258.50792,20.06376,0.014598,0.00023,2.175017,2.67854,-10.0993,VLASS1.1.ql.T16t23.J171347+203000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA258.508DEC20.064.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=258.5079&DEC=20.0638&SR=0.01,[[ 0.78262198  0.21737805]]
258.5027,21.13093,0.003184,0.000231,2.055607,2.38433,-10.3578,VLASS1.1.ql.T16t23.J171355+213000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA258.503DEC21.131.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=258.5027&DEC=21.1309&SR=0.01,[[ 0.74783075  0.25216925]]
258.49039,21.48459,0.014092,0.000231,2.2538,2.41858,-10.0841,VLASS1.1.ql.T16t23.J171355+213000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA258.49DEC21.485.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=258.4904&DEC=21.4846&SR=0.01,[[ 0.83434385  0.16565613]]
258.47621,22.51505,0.001509,0.000159,2.328321,2.80605,-9.772,VLASS1.1.ql.T16t23.J171404+223000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA258.476DEC22.515.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=258.4762&DEC=22.5151&SR=0.01,[[ 0.58301055  0.41698945]]
258.47423,20.61809,0.002037,0.000168,2.130527,2.62192,-10.3977,VLASS1.1.ql.T16t23.J171347+203000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA258.474DEC20.618.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=258.4742&DEC=20.6181&SR=0.01,[[ 0.79208285  0.20791715]]
258.4622,20.83709,0.008987,0.000198,2.484799,4.34168,-9.6806,VLASS1.1.ql.T16t23.J171347+203000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA258.462DEC20.837.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=258.4622&DEC=20.8371&SR=0.01,[[ 0.62439692  0.37560302]]
258.44938,20.93763,0.001636,0.000168,2.370904,2.56767,-9.7022,VLASS1.1.ql.T16t23.J171347+203000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA258.449DEC20.938.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=258.4494&DEC=20.9376&SR=0.01,[[ 0.89597166  0.10402841]]
258.41941,23.53778,0.01889,0.000271,2.748482,2.239,10.491,VLASS1.1.ql.T16t23.J171413+233000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA258.419DEC23.538.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=258.4194&DEC=23.5378&SR=0.01,[[ 0.86142248  0.13857749]]
258.41187,22.65949,0.002372,0.000159,2.082001,2.65792,-9.8097,VLASS1.1.ql.T16t23.J171404+223000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA258.412DEC22.659.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=258.4119&DEC=22.6595&SR=0.01,[[ 0.8170315   0.18296851]]
258.41048,22.07879,0.002082,0.000159,2.156447,2.48594,-10.3654,VLASS1.1.ql.T16t23.J171404+223000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA258.41DEC22.079.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=258.4105&DEC=22.0788&SR=0.01,[[ 0.85473287  0.14526719]]
258.40067,20.93446,0.004291,0.000168,2.799334,2.21628,10.1469,VLASS1.1.ql.T16t23.J171347+203000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA258.401DEC20.934.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=258.4007&DEC=20.9345&SR=0.01,[[ 0.82793397  0.17206602]]
