# ra(J2000),dec(J2000),amp(Jy/beam),rms(Jy/beam),FWHMy(arcsec),FWHMx(arcsec),Bpa(degrees),FieldName,"png image link (Notes: If a link fails, it's because the ROUND feature dropped trailing zeros in the coordinates, so try putting them in by hand. Some artifacts have been kept in, and are distiguished by very large FWHM in one axis and very narrow in another.)  ",NED Lookup,"[[prob Compact, prob Complex]] (output of binary CNN used to identify interesting and complex sources) "
229.21523,20.54908,0.002031,0.00012,2.583125,4.00915,-9.9436,VLASS1.1.ql.T16t21.J151453+203000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA229.215DEC20.549.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=229.2152&DEC=20.5491&SR=0.01,[[ 0.68285125  0.31714869]]
229.21507,20.76615,0.00773,0.000155,2.414427,3.07534,-9.9684,VLASS1.1.ql.T16t21.J151453+203000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA229.215DEC20.766.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=229.2151&DEC=20.7662&SR=0.01,[[ 0.82015228  0.17984767]]
229.21464,20.68054,0.005258,0.000169,3.174584,2.49793,10.2834,VLASS1.1.ql.T16t21.J151453+203000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA229.215DEC20.681.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=229.2146&DEC=20.6805&SR=0.01,[[ 0.54125679  0.45874316]]
229.21323,23.57109,0.004816,0.000443,2.474433,2.23174,10.0743,VLASS1.1.ql.T16t21.J151512+233000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA229.213DEC23.571.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=229.2132&DEC=23.5711&SR=0.01,[[ 0.8709349   0.12906508]]
229.21232,20.67587,0.006379,0.000169,2.762373,3.62885,-9.603,VLASS1.1.ql.T16t21.J151453+203000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA229.212DEC20.676.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=229.2123&DEC=20.6759&SR=0.01,[[ 0.54673439  0.45326558]]
229.20745,21.24077,0.001273,0.000119,2.372862,2.93535,-12.5865,VLASS1.1.ql.T16t21.J151459+213000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA229.207DEC21.241.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=229.2075&DEC=21.2408&SR=0.01,[[ 0.84099567  0.15900432]]
229.20455,24.00465,0.007994,0.000443,2.651622,2.34576,10.1618,VLASS1.1.ql.T16t21.J151512+233000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA229.205DEC24.005.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=229.2046&DEC=24.0047&SR=0.01,[[ 0.73449463  0.2655054 ]]
229.20298,22.26671,0.001776,0.000135,7.335158,4.16645,9.7778,VLASS1.1.ql.T16t21.J151505+223000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA229.203DEC22.267.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=229.203&DEC=22.2667&SR=0.01,[[ 0.73533446  0.26466551]]
229.19054,22.33829,0.001514,0.000135,7.207492,2.6004,9.84,VLASS1.1.ql.T16t21.J151505+223000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA229.191DEC22.338.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=229.1905&DEC=22.3383&SR=0.01,[[ 0.76120293  0.23879704]]
229.1905,20.92448,0.002415,0.000116,2.777892,3.3787,-10.1954,VLASS1.1.ql.T16t21.J151453+203000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA229.191DEC20.924.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=229.1905&DEC=20.9245&SR=0.01,[[ 0.6446237   0.35537636]]
229.18935,20.71795,0.001749,0.000116,3.052715,2.37218,7.2685,VLASS1.1.ql.T16t21.J151453+203000.10.2048.v1.I.iter1.image.pbcor.tt0.subim.fits,https://storage.googleapis.com/babl-astrid.appspot.com/FIGST16/RA229.189DEC20.718.png,http://ned.ipac.caltech.edu/cgi-bin/nph-objsearch?search_type=Near+Position+Search&of=ascii_tab&RA=229.1894&DEC=20.718&SR=0.01,[[ 0.69542408  0.30457592]]
